"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","8444","search Auto Test 1","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","8181","search Auto Test 6","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","7141","search Auto Test 4","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","7393","search Auto Test 3","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","5583","search Auto Test 5","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","7041","search Auto Test 2","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
