"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"AI generated E2E","18754","E2E login_20260517_213426_6","","2026-05-20","failed","2026-05-20","","Login 20260517 213426","",""
"AI generated E2E","20689","E2E login_20260517_213426_7","","2026-05-20","failed","2026-05-20","","Login 20260517 213426","",""
"AI generated E2E","13999","E2E login_20260517_213426_2","","2026-05-20","passed","2026-05-20","","Login 20260517 213426","",""
"AI generated E2E","16776","E2E login_20260517_213426_1","","2026-05-20","passed","2026-05-20","","Login 20260517 213426","",""
"AI generated E2E","13661","E2E login_20260517_213426_3","","2026-05-20","passed","2026-05-20","","Login 20260517 213426","",""
"AI generated E2E","17041","E2E login_20260517_213426_8","","2026-05-20","failed","2026-05-20","","Login 20260517 213426","",""
"AI generated E2E","21040","E2E login_20260517_213426_4","","2026-05-20","passed","2026-05-20","","Login 20260517 213426","",""
"AI generated E2E","17358","E2E login_20260517_213426_5","","2026-05-20","failed","2026-05-20","","Login 20260517 213426","",""
