"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","14859","search Auto Test 1","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","8320","search Auto Test 2","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","8497","search Auto Test 4","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","7109","search Auto Test 5","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","8432","search Auto Test 6","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
"Auto generated from AI flow","8887","search Auto Test 3","","2026-05-19","passed","2026-05-19","","Search Auto 20260510 173326","",""
