"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","8370","login Auto Test 2","","2026-05-19","passed","2026-05-19","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","11366","login Auto Test 1","","2026-05-19","passed","2026-05-19","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","8672","login Auto Test 4","","2026-05-19","passed","2026-05-19","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","12592","login Auto Test 5","","2026-05-19","passed","2026-05-19","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","8282","login Auto Test 3","","2026-05-19","passed","2026-05-19","","Login Auto 20260510 150439","",""
