"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Auto generated from AI flow","8395","login Auto Test 3","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","8689","login Auto Test 4","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","10795","login Auto Test 5","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","10228","login Auto Test 1","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
"Auto generated from AI flow","8541","login Auto Test 2","","2026-05-10","passed","2026-05-10","","Login Auto 20260510 150439","",""
